% Model,partA.mph
% Version,COMSOL 5.2.0.166
% Date,"Apr 24 2017, 17:11"
% Table,Table 1 - Global Evaluation 1 (Cl)
% Q,Cl (1)
1,-2.801191609075245
2,-5.630233775305765
3,-8.972802621000598
4,-13.338401696193692
5,-18.82636473890426
6,-25.90860167140186
7,-33.15937071619895
8,-41.00925262904066
9,-49.13560476898753
10,-57.203113776751145
11,-65.100768218359
12,-72.75055024759808
13,-80.14377976073763
14,-87.3047897342677
15,-94.27584282761899
16,-101.09500214669295
17,-107.79039941824415
18,-114.39527375343671
19,-120.90903201629305
20,-127.36148964951828
21,-133.7676286080926
22,-140.13808431231288
23,-146.4830162235605
24,-152.8063092941808
25,-159.11425061878924
26,-165.40792717279763
27,-171.69132131763595
28,-177.96501901971573
29,-184.22950469068698
30,-190.48936000324002
31,-196.74244875821523
32,-202.98759170061146
33,-209.26522081977618
34,-215.52133579593627
35,-221.77383035044522
36,-228.02943104787488
37,-234.29035308151663
38,-240.55604266212583
39,-246.8270359735783
40,-253.1048180114725
