% Model,a4_Water.mph
% Version,COMSOL 5.3.0.223
% Date,"Feb 26 2018, 18:44"
% Table,Nonlinear solver - 
% Iteration number,Error
1,1.157136166366506E7
2,16.4190115659007
3,6.556762955249488
4,14.163003507491792
5,11.773266990812377
6,20.718091500369447
7,15.463266389039417
8,3.7630328618207174
9,3.0259572127426884
10,2.019577874274588
11,1.9931523634822037
12,1.970689771847659
13,1.9813001649794029
14,2.016127526043006
15,2.012234243138045
16,1.9241645319595337
17,1.9436825987048885
18,1.8449059638388887
19,1.9317126508392868
20,1.7185330953902134
21,1.3035403750324766
22,0.8844482762578966
23,0.5231169270869276
24,0.5816388111910024
25,0.26036817763392106
26,0.22997002965558674
27,0.028692402569351426
28,0.06932093843461345
29,2.793773728828222E-4
NaN,NaN
30,100.72304665272057
31,259.0598475120224
32,614.636078746983
33,4.243425035151967
34,2.751762486024748
35,2.399938126083156
36,2.2261805830645325
37,2.176937207978437
38,3708364.371396223
39,2.621384816230356
40,1.94759185747525
41,1.2419290613567295
42,1.8133600059355384E22
43,8.64598362623966E23
44,1.3387058906157795E29
45,2.1284251053678474E36
46,2.384078088635179E51
47,9.629004900432439E73
48,7.636835289579776E97
